Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 26.28      4.86     4.86                             _mcount_private
 22.50      9.02     4.16 10001023     0.42     0.42  insert(int, int, int)
 16.50     12.07     3.05 19962026     0.15     0.30  find(int, int, int)
 15.25     14.89     2.82  9947554     0.28     0.28  get_sum(int, int, int)
  8.33     16.43     1.54  9981013     0.15     0.15  get_rmx(int, long long, int)
  7.25     17.77     1.34  9981013     0.13     0.13  get_lmx(int, long long, int)
  2.06     18.15     0.38                             main
  1.19     18.37     0.22     9993    22.02    22.02  build(int, int, int)
  0.49     18.46     0.09                             _fentry__
  0.11     18.48     0.02   267702     0.07     0.07  std::less<int>::operator()(int const&, int const&) const
  0.05     18.49     0.01   252005     0.04     0.04  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_key(std::_Rb_tree_node<std::pair<int const, int> > const*)
  0.00     18.49     0.00   260563     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr() const
  0.00     18.49     0.00   260563     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr() const
  0.00     18.49     0.00   260563     0.00     0.00  std::_Select1st<std::pair<int const, int> >::operator()(std::pair<int const, int> const&) const
  0.00     18.49     0.00   260563     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr() const
  0.00     18.49     0.00   252005     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_value(std::_Rb_tree_node<std::pair<int const, int> > const*)
  0.00     18.49     0.00   197463     0.00     0.00  std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.00     18.49     0.00   131400     0.00     0.00  cmp(nd const&, nd const&)
  0.00     18.49     0.00   101846     0.00     0.00  std::remove_reference<nd&>::type&& std::move<nd&>(nd&)
  0.00     18.49     0.00    99061     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00     18.49     0.00    95364     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>::operator()<nd*, nd*>(nd*, nd*)
  0.00     18.49     0.00    93226     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<int*, int*>(int*, int*) const
